English language name                                      | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
Kru languages                                              | kro            | kro            |               
Krung                                                      | krr            |                |               
Krymchak                                                   | jct            |                |               
Kryts                                                      | kry            |                |               
Kua                                                        | tyu            |                |               
Kua-nsi                                                    | ykn            |                |               
Kuamasi                                                    | yku            |                |               
Kuan                                                       | uan            |                |               
Kuanhua                                                    | xnh            |                |               
Kuanua                                                     | ksd            |                |               
Kuanyama                                                   | kua            | kua            | kj            
Kubachi                                                    | ugh            |                |               
Kube                                                       | kgf            |                |               
Kubi                                                       | kof            |                |               
Kubo                                                       | jko            |                |               
Kubu                                                       | kvb            |                |               
Kucong                                                     | lkc            |                |               
Kudiya                                                     | kfg            |                |               
Kudmali                                                    | kyw            |                |               
Kudu-Camo                                                  | kov            |                |               
Kufr Qassem Sign Language (KQSL)                           | sqx            |                |               
Kugama                                                     | kow            |                |               
Kugbo                                                      | kes            |                |               
Kugu-Muminh                                                | xmh            |                |               
Kui (India)                                                | kxu            |                |               
Kui (India)                                                | uki            |                |               
Kui (Indonesia)                                            | kvd            |                |               
Kuijau                                                     | dkr            |                |               
Kuikúro-Kalapálo                                           | kui            |                |               
Kujarge                                                    | vkj            |                |               
Kuk                                                        | kfn            |                |               
Kukatja                                                    | kux            |                |               
Kuke                                                       | ght            |                |               
Kukele                                                     | kez            |                |               
Kukna                                                      | kex            |                |               
Kuku                                                       | ukv            |                |               
Kuku-Mangk                                                 | xmq            |                |               
Kuku-Mu'inh                                                | xmp            |                |               
Kuku-Ugbanh                                                | ugb            |                |               
Kuku-Uwanh                                                 | uwa            |                |               
Kuku-Yalanji                                               | gvn            |                |               
Kula                                                       | tpg            |                |               
Kulere                                                     | kul            |                |               
Kulfa                                                      | kxj            |                |               
Kulina Pano                                                | xpk            |                |               
Kulisusu                                                   | vkl            |                |               
Kullu Pahari                                               | kfx            |                |               
Kulon                                                      | uon            |                |               
Kulon-Pazeh                                                | uun            |                |               
Kulung (Nepal)                                             | kle            |                |               
Kulung (Nigeria)                                           | bbu            |                |               
Kumalu                                                     | ksl            |                |               
Kumam                                                      | kdi            |                |               
Kuman (Papua New Guinea)                                   | kue            |                |               
Kuman (Russia)                                             | qwm            |                |               
Kumaoni                                                    | kfy            |                |               
Kumarbhag Paharia                                          | kmj            |                |               
Kumba                                                      | ksm            |                |               
Kumbainggar                                                | kgs            |                |               
Kumbaran                                                   | wkb            |                |               
Kumbewaha                                                  | xks            |                |               
Kumhali                                                    | kra            |                |               
Kumiai                                                     | dih            |                |               
Kumukio                                                    | kuo            |                |               
Kumyk                                                      | kum            | kum            |               
Kumzari                                                    | zum            |                |               
Kunama                                                     | kun            |                |               
Kunbarlang                                                 | wlg            |                |               
Kunda                                                      | kdn            |                |               
Kundal Shahi                                               | shd            |                |               
Kunduvadi                                                  | wku            |                |               
Kung                                                       | kfl            |                |               
Kung-Ekoka                                                 | knw            |                |               
Kungarakany                                                | ggk            |                |               
Kungardutyi                                                | gdt            |                |               
Kunggara                                                   | kvs            |                |               
Kunggari                                                   | kgl            |                |               
Kungkari                                                   | lku            |                |               
Kuni                                                       | kse            |                |               
Kuni-Boazi                                                 | kvg            |                |               
Kunigami                                                   | xug            |                |               
Kunimaipa                                                  | kup            |                |               
Kunja                                                      | pep            |                |               
Kunjen                                                     | kjn            |                |               
Kunyi                                                      | njx            |                |               
Kunza                                                      | kuz            |                |               
Kuo                                                        | xuo            |                |               
Kuot                                                       | kto            |                |               
Kupa                                                       | kug            |                |               
Kupang Malay                                               | mkn            |                |               
Kupia                                                      | key            |                |               
Kupsabiny                                                  | kpz            |                |               
Kur                                                        | kuv            |                |               
Kura Ede Nago                                              | nqk            |                |               
Kurama                                                     | krh            |                |               
Kuranko                                                    | knk            |                |               
Kurdish                                                    | kur            | kur            | ku            
Kuri                                                       | nbn            |                |               
Kuria                                                      | kuj            |                |               
Kurichiya                                                  | kfh            |                |               
Kurmukar                                                   | kfv            |                |               
Kurnai                                                     | unn            |                |               
Kurrama                                                    | vku            |                |               
Kurti                                                      | ktm            |                |               
Kurtokha                                                   | xkz            |                |               
Kurudu                                                     | kjr            |                |               
Kurukh                                                     | kru            | kru            |               
Kuruáya                                                    | kyr            |                |               
Kusaal                                                     | kus            |                |               
Kusaghe                                                    | ksg            |                |               
Kushi                                                      | kuh            |                |               
Kusu                                                       | ksv            |                |               
Kusunda                                                    | kgg            |                |               
Kutenai                                                    | kut            | kut            |               
Kutep                                                      | kub            |                |               
Kuthant                                                    | xut            |                |               
Kutong                                                     | skm            |                |               
Kutto                                                      | kpa            |                |               
Kutu                                                       | kdc            |                |               
Kuturmi                                                    | khj            |                |               
Kuuk Thaayorre                                             | thd            |                |               
Kuuk-Yak                                                   | uky            |                |               
Kuuku-Ya'u                                                 | kuy            |                |               
Kuvale                                                     | olu            |                |               
Kuvi                                                       | kxv            |                |               
Kuwaa                                                      | blh            |                |               
Kuwaataay                                                  | cwt            |                |               
Kuwema                                                     | woa            |                |               
Kuy                                                        | kdt            |                |               
Kven Finnish                                               | fkv            |                |               
Kw'adza                                                    | wka            |                |               
Kwa                                                        | kwb            |                |               
Kwa'                                                       | bko            |                |               
Kwaami                                                     | ksq            |                |               
Kwadi                                                      | kwz            |                |               
Kwaio                                                      | kwd            |                |               
Kwaja                                                      | kdz            |                |               
Kwak                                                       | kwq            |                |               
Kwakiutl                                                   | kwk            |                |               
Kwakum                                                     | kwu            |                |               
Kwalhioqua-Tlatskanai                                      | qwt            |                |               
Kwama                                                      | kmq            |                |               
Kwambi                                                     | kwm            |                |               
Kwamera                                                    | tnk            |                |               
Kwami                                                      | ktf            |                |               
Kwamtim One                                                | okk            |                |               
Kwandu                                                     | xdo            |                |               
Kwang                                                      | kvi            |                |               
Kwanga                                                     | kwj            |                |               
Kwangali                                                   | kwn            |                |               
Kwanja                                                     | knp            |                |               
Kwara'ae                                                   | kwf            |                |               
Kwasio                                                     | nmg            |                |               
Kwaya                                                      | kya            |                |               
Kwaza                                                      | xwa            |                |               
Kwegu                                                      | xwg            |                |               
Kwer                                                       | kwr            |                |               
Kwerba Mamberamo                                           | xwr            |                |               
Kwerba                                                     | kwe            |                |               
Kwere                                                      | cwe            |                |               
Kwerisa                                                    | kkb            |                |               
Kwese                                                      | kws            |                |               
Kwesten                                                    | kwt            |                |               
Kwini                                                      | gww            |                |               
Kwinsu                                                     | kuc            |                |               
Kwinti                                                     | kww            |                |               
Kwoma                                                      | kmo            |                |               
Kwomtari                                                   | kwo            |                |               
Kxoe                                                       | xuu            |                |               
Kyak                                                       | bka            |                |               
Kyaka                                                      | kyc            |                |               
Kyan-Karyaw Naga                                           | nqq            |                |               
Kyanga                                                     | tye            |                |               
Kyenele                                                    | kql            |                |               
Kyerung                                                    | kgy            |                |               
Kâte                                                       | kmg            |                |               
Kélé                                                       | keb            |                |               
Kölsch                                                     | ksh            |                |               
Kɛlɛngaxo Bozo                                             | bzx            |                |               
La'bi                                                      | lbi            |                |               
Laal                                                       | gdm            |                |               
Laari                                                      | ldi            |                |               
Laba                                                       | lau            |                |               
Label                                                      | lbb            |                |               
Labir                                                      | jku            |                |               
Labo Phowa                                                 | ypb            |                |               
Labo                                                       | mwi            |                |               
Labu                                                       | lbu            |                |               
Labuk-Kinabatangan Kadazan                                 | dtb            |                |               
Lacandon                                                   | lac            |                |               
Lachi                                                      | lbt            |                |               
Lachiguiri Zapotec                                         | zpa            |                |               
Lachixío Zapotec                                           | zpl            |                |               
Ladakhi                                                    | lbj            |                |               
Ladin                                                      | lld            |                |               
Ladino                                                     | lad            | lad            |               
Ladji Ladji                                                | llj            |                |               
Laeko-Libuat                                               | lkl            |                |               
Lafofa                                                     | laf            |                |               
Laghu                                                      | lgb            |                |               
Laghuu                                                     | lgh            |                |               
Lagwan                                                     | kot            |                |               
Laha (Indonesia)                                           | lhh            |                |               
Laha (Viet Nam)                                            | lha            |                |               
Lahanan                                                    | lhn            |                |               
Lahnda                                                     | lah            | lah            |               
Lahta Karen                                                | kvt            |                |               
Lahu Shi                                                   | lhi            |                |               
Lahu                                                       | lhu            |                |               
Lahul Lohar                                                | lhl            |                |               
Laimbue                                                    | lmx            |                |               
Laitu Chin                                                 | clj            |                |               
Laiyolo                                                    | lji            |                |               
Lak                                                        | lbe            |                |               
Laka (Chad)                                                | lap            |                |               
Laka (Nigeria)                                             | lak            |                |               
Lakalei                                                    | lka            |                |               
Lake Miwok                                                 | lmw            |                |               
Lakha                                                      | lkh            |                |               
Laki                                                       | lki            |                |               
Lakkia                                                     | lbc            |                |               
Lakon                                                      | lkn            |                |               
Lakondê                                                    | lkd            |                |               
Lakota Dida                                                | dic            |                |               
Lakota                                                     | lkt            |                |               
Lakurumau                                                  | lxm            |                |               
Lala                                                       | nrz            |                |               
Lala-Bisa                                                  | leb            |                |               
Lala-Roba                                                  | lla            |                |               
Lalana Chinantec                                           | cnl            |                |               
Lalia                                                      | lal            |                |               
Lama (Togo)                                                | las            |                |               
Lama Bai                                                   | lay            |                |               
Lamaholot                                                  | slp            |                |               
Lamalama                                                   | lby            |                |               
Lamalera                                                   | lmr            |                |               
Lamam                                                      | lmm            |                |               
Lamang                                                     | hia            |                |               
Lamatuka                                                   | lmq            |                |               
Lamba                                                      | lam            | lam            |               
Lambadi                                                    | lmn            |                |               
Lambayeque Quechua                                         | quf            |                |               
Lambichhong                                                | lmh            |                |               
Lamboya                                                    | lmy            |                |               
Lambya                                                     | lai            |                |               
Lame                                                       | bma            |                |               
Lamenu                                                     | lmu            |                |               
Lamja-Dengsa-Tola                                          | ldh            |                |               
Lamkang                                                    | lmk            |                |               
Lamma                                                      | lev            |                |               
Lamnso'                                                    | lns            |                |               
Lamogai                                                    | lmg            |                |               
Lampung Api                                                | ljp            |                |               
Lampung Nyo                                                | abl            |                |               
Lamu                                                       | llh            |                |               
Lanas Lobu                                                 | ruu            |                |               
Land Dayak languages                                       | day            | day            |               
Landoma                                                    | ldm            |                |               
Lang'e                                                     | yne            |                |               
Langam                                                     | lnm            |                |               
Langbashe                                                  | lna            |                |               
Langi                                                      | lag            |                |               
Langnian Buyang                                            | yln            |                |               
Lango (South Sudan)                                        | lgo            |                |               
Lango (South Sudan)                                        | lno            |                |               
Lango (Uganda)                                             | laj            |                |               
Langobardic                                                | lng            |                |               
Langue des signes de Belgique Francophone                  | sfb            |                |               
Lanima                                                     | lnw            |                |               
Lanoh                                                      | lnh            |                |               
Lao Naga                                                   | nlq            |                |               
Lao                                                        | lao            | lao            | lo            
Laomian                                                    | lwm            |                |               
Laopang                                                    | lbg            |                |               
Laos Sign Language                                         | lso            |                |               
Lapaguía-Guivini Zapotec                                   | ztl            |                |               
Laragia                                                    | lrg            |                |               
Larantuka Malay                                            | lrt            |                |               
Lardil                                                     | lbz            |                |               
Larevat                                                    | lrv            |                |               
Large Flowery Miao                                         | hmd            |                |               
Lari                                                       | lrl            |                |               
Larike-Wakasihu                                            | alo            |                |               
Laro                                                       | lro            |                |               
Larteh                                                     | lar            |                |               
Laru                                                       | lan            |                |               
Las Delicias Zapotec                                       | zcd            |                |               
Lasalimu                                                   | llm            |                |               
Lasgerdi                                                   | lsa            |                |               
Lashi                                                      | lsi            |                |               
Lasi                                                       | lss            |                |               
Late Middle Chinese                                        | ltc            |                |               
Latgalian                                                  | ltg            |                |               
Latin                                                      | lat            | lat            | la            
Latu                                                       | ltu            |                |               
Latundê                                                    | ltn            |                |               
Latvian Sign Language                                      | lsl            |                |               
Latvian                                                    | lav            | lav            | lv            
Lau                                                        | llu            |                |               
Laua                                                       | luf            |                |               
Lauan                                                      | llx            |                |               
Lauje                                                      | law            |                |               
Laura                                                      | lur            |                |               
Laurentian                                                 | lre            |                |               
Lautu Chin                                                 | clt            |                |               
Lavatbura-Lamusong                                         | lbv            |                |               
Laven                                                      | lbo            |                |               
Lavi                                                       | lvi            |                |               
Lavukaleve                                                 | lvk            |                |               
Lawangan                                                   | lbx            |                |               
Lawu                                                       | lwu            |                |               
Lawunuia                                                   | tgi            |                |               
Layakha                                                    | lya            |                |               
Laz                                                        | lzz            |                |               
Lealao Chinantec                                           | cle            |                |               
Leco                                                       | lec            |                |               
Ledo Kaili                                                 | lew            |                |               
Leelau                                                     | ldk            |                |               
Lefa                                                       | lfa            |                |               
Lega-Mwenga                                                | lgm            |                |               
Lega-Shabunda                                              | lea            |                |               
Legbo                                                      | agb            |                |               
Legenyem                                                   | lcc            |                |               
Lehali                                                     | tql            |                |               
Lehalurup                                                  | urr            |                |               
Lehar                                                      | cae            |                |               
Leinong Naga                                               | lzn            |                |               
Leipon                                                     | lek            |                |               
Lelak                                                      | llk            |                |               
Lele (Chad)                                                | lln            |                |               
Lele (Democratic Republic of Congo)                        | lel            |                |               
Lele (Guinea)                                              | llc            |                |               
Lele (Papua New Guinea)                                    | lle            |                |               
Lelemi                                                     | lef            |                |               
Lelepa                                                     | lpa            |                |               
Lembena                                                    | leq            |                |               
Lemerig                                                    | lrz            |                |               
Lemio                                                      | lei            |                |               
Lemnian                                                    | xle            |                |               
Lemolang                                                   | ley            |                |               
Lemoro                                                     | ldj            |                |               
Lenakel                                                    | tnl            |                |               
Lenca                                                      | len            |                |               
Lendu                                                      | led            |                |               
Lengilu                                                    | lgi            |                |               
Lengo                                                      | lgr            |                |               
Lengola                                                    | lej            |                |               
Lengua                                                     | leg            |                |               
Leningitij                                                 | lnj            |                |               
Lenje                                                      | leh            |                |               
Lenkau                                                     | ler            |                |               
Lenyima                                                    | ldg            |                |               
Lepcha                                                     | lep            |                |               
Lepki                                                      | lpe            |                |               
Lepontic                                                   | xlp            |                |               
Lere                                                       | gnh            |                |               
Lese                                                       | les            |                |               
Lesing-Gelimi                                              | let            |                |               
Letemboi                                                   | nms            |                |               
Leti (Cameroon)                                            | leo            |                |               
Leti (Indonesia)                                           | lti            |                |               
Levuka                                                     | lvu            |                |               
Lewo Eleng                                                 | lwe            |                |               
Lewo                                                       | lww            |                |               
Lewotobi                                                   | lwt            |                |               
Leyigha                                                    | ayi            |                |               
Lezghian                                                   | lez            | lez            |               
Lhokpu                                                     | lhp            |                |               
Lhomi                                                      | lhm            |                |               
Li'o                                                       | ljl            |                |               
Liabuku                                                    | lix            |                |               
Liana-Seti                                                 | ste            |                |               
Liangmai Naga                                              | njn            |                |               
Lianshan Zhuang                                            | zln            |                |               
Liberia Kpelle                                             | xpe            |                |               
Liberian English                                           | lir            |                |               
Libido                                                     | liq            |                |               
Libinza                                                    | liz            |                |               
Libon Bikol                                                | lbl            |                |               
Liburnian                                                  | xli            |                |               
Libyan Arabic                                              | ayl            |                |               
Libyan Sign Language                                       | lbs            |                |               
Lidzonka                                                   | add            |                |               
Ligbi                                                      | lig            |                |               
Ligenza                                                    | lgz            |                |               
Ligurian (Ancient)                                         | xlg            |                |               
Ligurian                                                   | lij            |                |               
Lihir                                                      | lih            |                |               
Lijili                                                     | mgi            |                |               
Lika                                                       | lik            |                |               
Liki                                                       | lio            |                |               
Likila                                                     | lie            |                |               
Likuba                                                     | kxx            |                |               
Likum                                                      | lib            |                |               
Likwala                                                    | kwc            |                |               
Lilau                                                      | lll            |                |               
Lillooet                                                   | lil            |                |               
Limassa                                                    | bme            |                |               
Limbu                                                      | lif            |                |               
Limbum                                                     | lmp            |                |               
Limburgan                                                  | lim            | lim            | li            
Limi                                                       | ylm            |                |               
Limilngan                                                  | lmc            |                |               
Limos Kalinga                                              | kmk            |                |               
Linear A                                                   | lab            |                |               
Lingala                                                    | lin            | lin            | ln            
Lingao                                                     | onb            |                |               
Lingarak                                                   | lgk            |                |               
Lingkhim                                                   | lii            |                |               
